ID,Site,Year,Day,Hour,Dive Count
MO02,Moraine,2019,2,15,28
MO02,Moraine,2019,2,16,49
MO02,Moraine,2019,2,17,34
MO02,Moraine,2019,2,24,5
MO02,Moraine,2019,3,6,28
MO02,Moraine,2019,3,7,37
MO02,Moraine,2019,3,8,59
MO02,Moraine,2019,3,9,40
MO02,Moraine,2019,3,10,29
MO02,Moraine,2019,3,11,15
MO02,Moraine,2019,3,12,26
MO02,Moraine,2019,3,13,48
MO02,Moraine,2019,3,14,42
MO02,Moraine,2019,3,15,30
MO02,Moraine,2019,3,16,33
MO02,Moraine,2019,3,17,91
MO02,Moraine,2019,3,18,71
MO02,Moraine,2019,3,19,43
MO02,Moraine,2019,3,20,52
MO02,Moraine,2019,3,21,7
MO02,Moraine,2019,3,22,1
MO02,Moraine,2019,3,23,2
MO02,Moraine,2019,4,1,6
MO02,Moraine,2019,4,2,18
MO02,Moraine,2019,4,3,43
MO02,Moraine,2019,4,4,40
MO02,Moraine,2019,4,5,41
MO02,Moraine,2019,4,6,57
MO02,Moraine,2019,4,7,37
MO02,Moraine,2019,4,8,29
MO02,Moraine,2019,4,9,39
MO02,Moraine,2019,4,10,201
MO02,Moraine,2019,4,11,223
MO02,Moraine,2019,4,12,7
MO02,Moraine,2019,4,12,8
MO04,Moraine,2019,1,7,11
MO04,Moraine,2019,1,8,53
MO04,Moraine,2019,1,9,79
MO04,Moraine,2019,1,10,59
MO04,Moraine,2019,1,11,157
MO04,Moraine,2019,1,12,151
MO04,Moraine,2019,1,13,25
MO04,Moraine,2019,1,14,36
MO04,Moraine,2019,1,15,34
MO04,Moraine,2019,1,16,27
MO04,Moraine,2019,1,17,21
MO04,Moraine,2019,1,18,31
MO04,Moraine,2019,1,19,47
MO04,Moraine,2019,1,20,66
MO05,Moraine,2019,1,6,23
MO05,Moraine,2019,1,7,37
MO05,Moraine,2019,1,8,27
MO05,Moraine,2019,1,9,21
MO05,Moraine,2019,1,10,18
MO05,Moraine,2019,1,11,50
MO05,Moraine,2019,1,12,26
MO05,Moraine,2019,1,13,62
MO05,Moraine,2019,1,14,54
MO05,Moraine,2019,1,15,52
MO05,Moraine,2019,1,16,33
MO05,Moraine,2019,1,17,35
MO05,Moraine,2019,1,18,31
MO05,Moraine,2019,1,19,49
MO05,Moraine,2019,1,20,35
MO05,Moraine,2019,2,3,16
MO05,Moraine,2019,2,4,25
MO05,Moraine,2019,2,5,22
MO05,Moraine,2019,2,6,60
MO05,Moraine,2019,2,7,55
MO05,Moraine,2019,2,8,16
MO05,Moraine,2019,2,9,15
MO05,Moraine,2019,2,10,28
MO05,Moraine,2019,2,11,29
MO05,Moraine,2019,2,12,33
MO05,Moraine,2019,2,13,33
MO05,Moraine,2019,2,14,22
MO05,Moraine,2019,2,15,7
MO05,Moraine,2019,2,16,36
MO05,Moraine,2019,2,17,27
MO05,Moraine,2019,2,18,41
MO05,Moraine,2019,2,19,48
MO05,Moraine,2019,2,20,55
